Newspaper,Daily Circulation 2004,Daily Circulation 2013,Change in Daily Circulation 2004-2013,Pulitzer Prize Winners and Finalists 1990-2003,Pulitzer Prize Winners and Finalists 2004-2014,Pulitzer Prize Winners and Finalists 1990-2014
USA Today,2192098,1674306,-24%,1,1,2
Wall Street Journal,2101017,2378827,+13%,30,20,50
New York Times,1119027,1865318,+67%,55,62,117
Los Angeles Times,983727,653868,-34%,44,41,85
Washington Post,760034,474767,-38%,52,48,100
New York Daily News,712671,516165,-28%,4,2,6
New York Post,642844,500521,-22%,0,0,0
Chicago Tribune,603315,414930,-31%,23,15,38
San Jose Mercury News,558874,583998,+4%,4,2,6
Newsday,553117,377744,-32%,12,6,18
Houston Chronicle,549300,360251,-34%,2,3,5
Dallas Morning News,528379,409265,-23%,11,6,17
San Francisco Chronicle,499008,218987,-56%,7,2,9
Arizona Republic,466926,293640,-37%,5,2,7
Chicago Sun-Times,453757,470548,+4%,1,1,2
Boston Globe,446241,245572,-45%,25,16,41
Atlanta Journal Constitution,409873,231094,-44%,1,5,6
Newark Star Ledger,395000,340778,-14%,2,6,8
Detroit Free Press,379304,209652,-45%,7,5,12
Minneapolis Star Tribune,377058,301345,-20%,4,4,8
Philadelphia Inquirer,376454,306831,-18%,24,8,32
Cleveland Plain Dealer,367528,311605,-15%,4,7,11
San Diego Union-Tribune,355771,250678,-30%,0,2,2
Tampa Bay Times,348502,340260,-2%,10,11,21
Denver Post,340168,416676,+22%,1,8,9
Rocky Mountain News,340007,0,-100%,4,1,5
Oregonian,339169,228909,-33%,9,8,17
Miami Herald,325032,147130,-55%,17,7,24
Orange County Register,310001,356165,+15%,3,2,5
Sacramento Bee,303841,200802,-34%,4,4,8
St. Louis Post-Dispatch,281198,167199,-41%,4,3,7
Baltimore Sun,277947,177054,-36%,11,2,13
Kansas City Star,275747,189283,-31%,2,0,2
Detroit News,271465,115643,-57%,4,0,4
Orlando Sentinel,269269,161070,-40%,5,2,7
South Florida Sun-Sentinel,268297,163728,-39%,0,1,1
New Orleans Times-Picayune,262008,0,-100%,5,3,8
Columbus Dispatch,259127,137148,-47%,1,0,1
Indianapolis Star,253778,156850,-38%,1,0,1
San Antonio Express-News,246057,139005,-44%,0,0,0
Pittsburgh Post-Gazette,242514,180433,-26%,3,0,3
Milwaukee Journal Sentinel,241605,198469,-18%,2,8,10
Tampa Tribune,238877,191477,-20%,0,0,0
Fort Woth Star-Telegram,237318,188593,-21%,1,0,1
Boston Herald,236899,95929,-60%,0,0,0
Seattle Times,233497,229764,-2%,11,5,16
Charlotte Observer,231369,137829,-40%,1,3,4
Daily Oklahoman,223403,124667,-44%,0,0,0
Louisville Courier-Journal,216934,131208,-40%,0,3,3
Investor's Buisiness Daily,215735,157161,-27%,0,1,1
